PING 11.0.0.18 (11.0.0.18) 56(84) bytes of data.
64 bytes from 11.0.0.18: icmp_seq=28 ttl=64 time=0.434 ms
64 bytes from 11.0.0.18: icmp_seq=29 ttl=64 time=0.607 ms
64 bytes from 11.0.0.18: icmp_seq=30 ttl=64 time=0.553 ms
64 bytes from 11.0.0.18: icmp_seq=31 ttl=64 time=0.540 ms
64 bytes from 11.0.0.18: icmp_seq=32 ttl=64 time=0.564 ms
64 bytes from 11.0.0.18: icmp_seq=33 ttl=64 time=0.542 ms
64 bytes from 11.0.0.18: icmp_seq=34 ttl=64 time=0.555 ms
64 bytes from 11.0.0.18: icmp_seq=35 ttl=64 time=0.539 ms
64 bytes from 11.0.0.18: icmp_seq=36 ttl=64 time=0.544 ms
64 bytes from 11.0.0.18: icmp_seq=37 ttl=64 time=0.549 ms
64 bytes from 11.0.0.18: icmp_seq=38 ttl=64 time=0.536 ms
64 bytes from 11.0.0.18: icmp_seq=39 ttl=64 time=0.535 ms
64 bytes from 11.0.0.18: icmp_seq=40 ttl=64 time=0.538 ms
64 bytes from 11.0.0.18: icmp_seq=41 ttl=64 time=0.542 ms
64 bytes from 11.0.0.18: icmp_seq=42 ttl=64 time=0.533 ms
64 bytes from 11.0.0.18: icmp_seq=43 ttl=64 time=0.539 ms
64 bytes from 11.0.0.18: icmp_seq=44 ttl=64 time=0.522 ms
64 bytes from 11.0.0.18: icmp_seq=45 ttl=64 time=0.546 ms
64 bytes from 11.0.0.18: icmp_seq=46 ttl=64 time=0.541 ms
64 bytes from 11.0.0.18: icmp_seq=47 ttl=64 time=0.564 ms
64 bytes from 11.0.0.18: icmp_seq=48 ttl=64 time=0.551 ms
64 bytes from 11.0.0.18: icmp_seq=49 ttl=64 time=0.513 ms
64 bytes from 11.0.0.18: icmp_seq=50 ttl=64 time=0.551 ms
64 bytes from 11.0.0.18: icmp_seq=51 ttl=64 time=0.515 ms
64 bytes from 11.0.0.18: icmp_seq=52 ttl=64 time=0.553 ms
64 bytes from 11.0.0.18: icmp_seq=53 ttl=64 time=0.544 ms
64 bytes from 11.0.0.18: icmp_seq=54 ttl=64 time=0.549 ms
64 bytes from 11.0.0.18: icmp_seq=55 ttl=64 time=0.539 ms
64 bytes from 11.0.0.18: icmp_seq=56 ttl=64 time=0.542 ms
64 bytes from 11.0.0.18: icmp_seq=57 ttl=64 time=0.547 ms
64 bytes from 11.0.0.18: icmp_seq=58 ttl=64 time=0.555 ms
64 bytes from 11.0.0.18: icmp_seq=59 ttl=64 time=0.540 ms
64 bytes from 11.0.0.18: icmp_seq=60 ttl=64 time=0.533 ms

--- 11.0.0.18 ping statistics ---
60 packets transmitted, 60 received, 0% packet loss, time 58998ms
rtt min/avg/max/mdev = 0.434/0.543/0.665/0.042 ms
PING 11.0.0.18 (11.0.0.18) 56(84) bytes of data.
64 bytes from 11.0.0.18: icmp_seq=1 ttl=64 time=0.547 ms
64 bytes from 11.0.0.18: icmp_seq=2 ttl=64 time=0.549 ms
64 bytes from 11.0.0.18: icmp_seq=3 ttl=64 time=0.515 ms
64 bytes from 11.0.0.18: icmp_seq=4 ttl=64 time=0.542 ms
64 bytes from 11.0.0.18: icmp_seq=5 ttl=64 time=0.558 ms
64 bytes from 11.0.0.18: icmp_seq=6 ttl=64 time=0.534 ms
64 bytes from 11.0.0.18: icmp_seq=7 ttl=64 time=0.542 ms
64 bytes from 11.0.0.18: icmp_seq=8 ttl=64 time=0.542 ms
64 bytes from 11.0.0.18: icmp_seq=9 ttl=64 time=0.549 ms
64 bytes from 11.0.0.18: icmp_seq=10 ttl=64 time=0.546 ms
64 bytes from 11.0.0.18: icmp_seq=11 ttl=64 time=0.546 ms
64 bytes from 11.0.0.18: icmp_seq=12 ttl=64 time=0.633 ms
64 bytes from 11.0.0.18: icmp_seq=13 ttl=64 time=0.683 ms
64 bytes from 11.0.0.18: icmp_seq=14 ttl=64 time=0.688 ms
64 bytes from 11.0.0.18: icmp_seq=15 ttl=64 time=0.718 ms
64 bytes from 11.0.0.18: icmp_seq=16 ttl=64 time=0.659 ms
64 bytes from 11.0.0.18: icmp_seq=17 ttl=64 time=0.730 ms
64 bytes from 11.0.0.18: icmp_seq=18 ttl=64 time=0.625 ms
64 bytes from 11.0.0.18: icmp_seq=19 ttl=64 time=0.650 ms
64 bytes from 11.0.0.18: icmp_seq=20 ttl=64 time=0.939 ms
64 bytes from 11.0.0.18: icmp_seq=21 ttl=64 time=0.702 ms
64 bytes from 11.0.0.18: icmp_seq=22 ttl=64 time=0.689 ms
64 bytes from 11.0.0.18: icmp_seq=23 ttl=64 time=0.646 ms
64 bytes from 11.0.0.18: icmp_seq=24 ttl=64 time=0.626 ms
64 bytes from 11.0.0.18: icmp_seq=25 ttl=64 time=0.678 ms
64 bytes from 11.0.0.18: icmp_seq=26 ttl=64 time=0.638 ms
64 bytes from 11.0.0.18: icmp_seq=27 ttl=64 time=0.723 ms
64 bytes from 11.0.0.18: icmp_seq=28 ttl=64 time=0.515 ms
64 bytes from 11.0.0.18: icmp_seq=29 ttl=64 time=0.587 ms
64 bytes from 11.0.0.18: icmp_seq=30 ttl=64 time=0.550 ms
64 bytes from 11.0.0.18: icmp_seq=31 ttl=64 time=0.505 ms
64 bytes from 11.0.0.18: icmp_seq=32 ttl=64 time=0.553 ms
64 bytes from 11.0.0.18: icmp_seq=33 ttl=64 time=0.579 ms
64 bytes from 11.0.0.18: icmp_seq=34 ttl=64 time=0.506 ms
64 bytes from 11.0.0.18: icmp_seq=35 ttl=64 time=0.526 ms
64 bytes from 11.0.0.18: icmp_seq=36 ttl=64 time=0.534 ms
64 bytes from 11.0.0.18: icmp_seq=37 ttl=64 time=0.544 ms
64 bytes from 11.0.0.18: icmp_seq=38 ttl=64 time=0.550 ms
64 bytes from 11.0.0.18: icmp_seq=39 ttl=64 time=0.568 ms
64 bytes from 11.0.0.18: icmp_seq=40 ttl=64 time=0.549 ms
